ДЕТАЛЬНАЯ СТРУКТУРА ФИЛЬТРОВ:
==================================================
1. id: order_34, name: filterOrder, enabled: True, displayed: False
53. id: events_13, name: filterType, enabled: True, displayed: False
54. id: events_8, name: filterType, enabled: True, displayed: False
55. id: type_1717, name: filterType, enabled: True, displayed: True
56. id: type_1818, name: filterType, enabled: True, displayed: True
57. id: type_8484, name: filterType, enabled: True, displayed: True
58. id: type_8585, name: filterType, enabled: True, displayed: True
59. id: type_8686, name: filterType, enabled: True, displayed: True
60. id: type_8787, name: filterType, enabled: True, displayed: False
61. id: type_8888, name: filterType, enabled: True, displayed: False
62. id: type_9090, name: filterType, enabled: True, displayed: False
63. id: type_9191, name: filterType, enabled: True, displayed: False
64. id: type_9292, name: filterType, enabled: True, displayed: False
65. id: type_9393, name: filterType, enabled: True, displayed: False
66. id: type_9494, name: filterType, enabled: True, displayed: False
67. id: type_9595, name: filterType, enabled: True, displayed: False
68. id: type_3939, name: filterType, enabled: True, displayed: False
69. id: month_4040, name: filterType, enabled: True, displayed: True
70. id: month_4141, name: filterType, enabled: True, displayed: True
71. id: month_4242, name: filterType, enabled: True, displayed: True
72. id: month_4343, name: filterType, enabled: True, displayed: True
73. id: month_4444, name: filterType, enabled: True, displayed: True
74. id: month_4545, name: filterType, enabled: True, displayed: False
75. id: month_4646, name: filterType, enabled: True, displayed: False
76. id: month_4747, name: filterType, enabled: True, displayed: False
77. id: month_4848, name: filterType, enabled: True, displayed: False
78. id: month_4949, name: filterType, enabled: True, displayed: False
79. id: month_5050, name: filterType, enabled: True, displayed: False
80. id: month_5151, name: filterType, enabled: True, displayed: False
81. id: subject_5252, name: filterType, enabled: True, displayed: True
82. id: subject_5353, name: filterType, enabled: True, displayed: True
83. id: subject_5454, name: filterType, enabled: True, displayed: True
84. id: subject_5555, name: filterType, enabled: True, displayed: True
85. id: subject_5656, name: filterType, enabled: True, displayed: True
86. id: subject_5757, name: filterType, enabled: True, displayed: False
87. id: subject_2020, name: filterType, enabled: True, displayed: False
88. id: subject_5959, name: filterType, enabled: True, displayed: False
89. id: subject_6060, name: filterType, enabled: True, displayed: False
90. id: subject_6161, name: filterType, enabled: True, displayed: False
91. id: subject_6262, name: filterType, enabled: True, displayed: False
92. id: subject_6363, name: filterType, enabled: True, displayed: False
93. id: subject_6464, name: filterType, enabled: True, displayed: False
94. id: theme_2222, name: filterType, enabled: True, displayed: True
95. id: theme_2424, name: filterType, enabled: True, displayed: True
96. id: theme_2525, name: filterType, enabled: True, displayed: True
97. id: theme_1919, name: filterType, enabled: True, displayed: True
98. id: theme_2121, name: filterType, enabled: True, displayed: True
99. id: theme_6565, name: filterType, enabled: True, displayed: False
100. id: theme_2626, name: filterType, enabled: True, displayed: False
101. id: theme_2727, name: filterType, enabled: True, displayed: False
102. id: theme_7373, name: filterType, enabled: True, displayed: False
103. id: theme_7474, name: filterType, enabled: True, displayed: False
104. id: theme_7575, name: filterType, enabled: True, displayed: False
105. id: theme_7676, name: filterType, enabled: True, displayed: False
106. id: theme_7777, name: filterType, enabled: True, displayed: False
107. id: theme_7878, name: filterType, enabled: True, displayed: False
108. id: holidays_7979, name: filterType, enabled: True, displayed: True
109. id: holidays_8080, name: filterType, enabled: True, displayed: True
110. id: holidays_8181, name: filterType, enabled: True, displayed: True
111. id: holidays_8282, name: filterType, enabled: True, displayed: True
112. id: age9696, name: filterType, enabled: True, displayed: True
113. id: age9797, name: filterType, enabled: True, displayed: True
114. id: age9898, name: filterType, enabled: True, displayed: True
115. id: age9999, name: filterType, enabled: True, displayed: True
116. id: age100100, name: filterType, enabled: True, displayed: True
117. id: age101101, name: filterType, enabled: True, displayed: False
118. id: age102102, name: filterType, enabled: True, displayed: False
119. id: age103103, name: filterType, enabled: True, displayed: False
120. id: age104104, name: filterType, enabled: True, displayed: False
121. id: age105105, name: filterType, enabled: True, displayed: False
122. id: age106106, name: filterType, enabled: True, displayed: False
123. id: age107107, name: filterType, enabled: True, displayed: False
124. id: age108108, name: filterType, enabled: True, displayed: False
125. id: age109109, name: filterType, enabled: True, displayed: False
126. id: activity3131, name: filterType, enabled: True, displayed: True
127. id: activity3232, name: filterType, enabled: True, displayed: True
128. id: activity3333, name: filterType, enabled: True, displayed: True
